application,feature_block,coverage_target,mean,sem
utility_restoration,jensen_shannon,0.5,5.1602209944751385,0.18985581353030234
utility_restoration,jensen_shannon,0.75,7.922651933701657,0.24695301724782195
utility_restoration,jensen_shannon,1.0,10.861878453038674,0.3139652615027792
utility_restoration,jensen_tsallis_q_0_5,0.25,2.3922651933701657,0.11288248142365095
utility_restoration,jensen_tsallis_q_0_5,0.5,5.18232044198895,0.1859872720364405
utility_restoration,jensen_tsallis_q_0_5,0.75,7.917127071823204,0.2507053833877269
utility_restoration,jensen_tsallis_q_0_5,1.0,10.861878453038674,0.3139652615027792
utility_restoration,jensen_tsallis_q_1_5,0.25,2.3646408839779007,0.11407052271094738
utility_restoration,jensen_tsallis_q_1_5,0.5,5.154696132596685,0.18670255083653028
utility_restoration,jensen_tsallis_q_1_5,0.75,7.94475138121547,0.24636382745063262
utility_restoration,jensen_tsallis_q_1_5,1.0,10.861878453038674,0.3139652615027792
utility_restoration,jensen_tsallis_q_2,0.25,2.403314917127072,0.11239318796134533
utility_restoration,jensen_tsallis_q_2,0.5,5.143646408839779,0.18658716352934826
utility_restoration,jensen_tsallis_q_2,0.75,7.966850828729282,0.24526210938744267
utility_restoration,jensen_tsallis_q_2,1.0,10.861878453038674,0.3139652615027792
utility_restoration,jensen_tsallis_q_3,0.25,2.408839779005525,0.11187144253475217
utility_restoration,jensen_tsallis_q_3,0.5,5.171270718232044,0.18321950323005362
utility_restoration,jensen_tsallis_q_3,0.75,8.005524861878452,0.247950127360352
utility_restoration,jensen_tsallis_q_3,1.0,10.861878453038674,0.3139652615027792
utility_restoration,kpi_confidence,0.25,1.0828729281767955,0.08894665393415253
utility_restoration,kpi_confidence,0.5,3.2430939226519335,0.18535250601401568
utility_restoration,kpi_confidence,0.75,6.524861878453039,0.2628606220336718
utility_restoration,kpi_confidence,1.0,10.861878453038674,0.3139652615027792
utility_restoration,local_shannon,0.25,2.3646408839779007,0.10855568648140036
utility_restoration,local_shannon,0.5,5.104972375690608,0.18299445701215228
utility_restoration,local_shannon,0.75,7.856353591160221,0.24226937565380785
utility_restoration,local_shannon,1.0,10.861878453038674,0.3139652615027792
utility_restoration,low_consensus_guard,0.25,2.292817679558011,0.10649281743496661
utility_restoration,low_consensus_guard,0.5,4.983425414364641,0.18096581794208186
utility_restoration,low_consensus_guard,0.75,7.867403314917127,0.24707109841527497
utility_restoration,low_consensus_guard,1.0,10.861878453038674,0.3139652615027792
utility_restoration,oracle_risk_upper_bound,0.25,0.48066298342541436,0.06945864517733373
utility_restoration,oracle_risk_upper_bound,0.5,2.5138121546961325,0.19217467863655338
