model_key,window_sweeps,held_out_cluster,condition,training_clusters,held_out_cluster_excluded,training_nominal_threshold_95,maximum_distance,mean_distance
granite,7,V15G_g1,field_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.507458181795823,23.81776181343284,10.009033211372174
granite,7,V15G_g1,field_persistent,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.507458181795823,13.18160641410396,9.479663329743067
granite,7,V15G_g1,field_scrambled,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.507458181795823,28.463001495076995,12.574496909122947
granite,7,V15G_g1,nominal_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.507458181795823,5.910240753101872,3.6848740927428576
granite,7,V15G_g2,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.294237812206915,57.45846688297119,13.160476962065845
granite,7,V15G_g2,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.294237812206915,23.454086562674313,13.621196478499105
granite,7,V15G_g2,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.294237812206915,22.568384443049315,13.53066416380717
granite,7,V15G_g2,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.294237812206915,4.647321237693725,3.739951305150138
granite,7,V15G_g3,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.264139907171595,14.236561418112693,6.670964109023414
granite,7,V15G_g3,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.264139907171595,33.04650636679481,13.23556668428258
granite,7,V15G_g3,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.264139907171595,19.836395822760508,10.910160575177777
granite,7,V15G_g3,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.264139907171595,4.623815251604681,2.9245706740477537
granite,7,V15G_g4,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.183043199771543,76.29432223828773,18.225978476563785
granite,7,V15G_g4,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.183043199771543,20.865936546849756,14.699095784010325
granite,7,V15G_g4,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.183043199771543,28.53633003689855,15.111473445736392
granite,7,V15G_g4,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.183043199771543,11.756595583840285,4.181932312897118
granite,7,V15G_g5,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.592927941093097,53.41926513483511,18.09783562381374
granite,7,V15G_g5,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.592927941093097,21.597686586552225,12.999295396561276
granite,7,V15G_g5,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.592927941093097,83.98195959941344,17.395074097701343
granite,7,V15G_g5,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.592927941093097,44.34778891550858,6.564101865010126
qwen,3,V15Q_g0,field_markovized,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.362252552361041,106.59397697364506,11.995336702023405
qwen,3,V15Q_g0,field_persistent,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.362252552361041,108.23949812592896,12.02996587027264
qwen,3,V15Q_g0,field_scrambled,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.362252552361041,107.38739295088293,11.535482907161144
qwen,3,V15Q_g0,nominal_markovized,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.362252552361041,8.56503069475326,2.323481102556482
qwen,3,V15Q_g1,field_markovized,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.2203998617059115,150.11682747736222,15.337096993988515
qwen,3,V15Q_g1,field_persistent,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.2203998617059115,151.01245148302587,16.239851783776015
qwen,3,V15Q_g1,field_scrambled,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.2203998617059115,150.20342605149133,15.69088171749783
qwen,3,V15Q_g1,nominal_markovized,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.2203998617059115,12.35040153886198,2.1211158208606418
qwen,3,V15Q_g2,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.232724648734355,124.88278753434905,13.744701449776633
qwen,3,V15Q_g2,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.232724648734355,126.97729284337963,13.240621838107423
