phase,lag_updates,lag_sweeps,autocorrelation,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
disruption,24,1.5,-0.02601790843047813,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,25,1.5625,-0.026202571930362222,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,26,1.625,-0.02638896125734804,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,27,1.6875,-0.026577100718859548,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,28,1.75,-0.026767015080951338,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,29,1.8125,-0.02695872957917671,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,30,1.875,-0.027152269929766135,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,31,1.9375,-0.027347662341126754,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,32,2.0,-0.027544933525673523,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,0,0.0,1.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,1,0.0625,0.7443535121188749,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,2,0.125,0.582792986688966,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,3,0.1875,0.4223470378094866,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,4,0.25,0.22985041612519702,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,5,0.3125,0.2997813335184478,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,6,0.375,0.3393566737775548,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,7,0.4375,0.3767512199903381,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,8,0.5,0.4456882488608878,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,9,0.5625,0.382174106480795,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,10,0.625,0.28150932690261726,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,11,0.6875,0.18252990162206054,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,12,0.75,0.11960161414956645,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,13,0.8125,0.058706010017894196,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,14,0.875,0.02932047524866822,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,15,0.9375,-0.002936378466557922,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,16,1.0,-0.0031461197855977723,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,17,1.0625,-0.0033577421927007607,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,18,1.125,-0.003571271107975848,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,19,1.1875,-0.003786732411624465,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,20,1.25,-0.004004152454397161,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,21,1.3125,-0.00422355806833673,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,22,1.375,-0.00444497657781703,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,23,1.4375,-0.00466843581088701,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,24,1.5,-0.0048939641109298606,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,25,1.5625,-0.0051215903486475315,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,26,1.625,-0.005351343934381252,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,27,1.6875,-0.005583254830779138,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,28,1.75,-0.005817353565822287,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,29,1.8125,-0.006053671246221297,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,30,1.875,-0.006292239571195535,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,31,1.9375,-0.006533090846647995,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,32,2.0,-0.006776257999749036,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,0,0.0,1.0,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,1,0.0625,0.8434871641786879,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,2,0.125,0.6856590944429111,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,3,0.1875,0.5670122235562464,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,4,0.25,0.4471903509341949,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,5,0.3125,0.32634871769408347,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,6,0.375,0.2044742499818345,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,7,0.4375,0.12293393677200846,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,8,0.5,0.08207689787378356,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,9,0.5625,0.04086611837903718,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,10,0.625,-0.0005290736861940976,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,11,0.6875,-0.042285795813130425,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,12,0.75,-0.08440880497626795,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,13,0.8125,-0.12690294197344196,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,14,0.875,-0.0848032194156253,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,15,0.9375,-0.042329277101739136,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,16,1.0,-0.04234039006501079,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,17,1.0625,0.0007049007420519556,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,18,1.125,0.04413798696179094,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,19,1.1875,0.08796413278532848,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,20,1.25,0.04490142296443349,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,21,1.3125,-0.04239747720510496,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,22,1.375,-0.08645324679495514,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,23,1.4375,-0.08685241703110273,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,24,1.5,-0.08725528328795538,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
