phase,graph_distance,connected_correlation,pair_count,within_pair_sd,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
disruption,4.0,0.056059027777777784,8.0,0.08328186861557206,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,1.0,-0.017271412037037068,24.0,0.10042771911993366,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,2.0,-0.014492187499999977,48.0,0.09033288820273683,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,3.0,0.0045815972222222195,40.0,0.08715401638644371,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,4.0,0.0319704861111111,8.0,0.10813429860249589,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,1.0,-0.020315393518518524,24.0,0.10250716344114352,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,2.0,-0.006176215277777778,48.0,0.10667370053810844,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,3.0,0.006361111111111114,40.0,0.1000418147183937,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,4.0,-0.016918402777777786,8.0,0.1684730888954108,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,1.0,-0.010057870370370375,24.0,0.10152428477461949,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,2.0,-0.012456597222222225,48.0,0.09095569777669804,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,3.0,0.010317708333333347,40.0,0.09231920852850706,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,4.0,0.05724826388888887,8.0,0.08443869205471853,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,1.0,-0.018417245370370403,24.0,0.10149941856609827,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
