model_key,condition,phase,lag_updates,lag_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates,source_type,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,cluster_id,panel_id,memory_mode,n_agents,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,temporal_window,magnetization_fourth_moment,window_updates,pooling_rule,valid_bootstrap_replicates,belief_magnetization
granite,field_persistent,recovery,25.0,1.5625,autocorrelation,0.3766359077800992,-0.0077519379844961,0.7610237535446945,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,26.0,1.625,autocorrelation,0.3711018176618233,-0.0080996884735202,0.7503033237971669,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,27.0,1.6875,autocorrelation,0.3655157642560518,-0.0084507042253521,0.7394822327374557,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,28.0,1.75,autocorrelation,0.3598770122332447,-0.0088050314465408,0.7285590559130304,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,29.0,1.8125,autocorrelation,0.3541848123239655,-0.0091627172195892,0.7175323418675204,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,30.0,1.875,autocorrelation,0.3484384009869788,-0.0095238095238095,0.7064006114977672,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,31.0,1.9375,autocorrelation,0.3426370000678202,-0.0098883572567783,0.6951623573924187,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,32.0,2.0,autocorrelation,0.3367798164475157,-0.0102564102564102,0.6838160431514417,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,0.0,0.0,autocorrelation,1.0,1.0,1.0,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,1.0,0.0625,autocorrelation,0.9678758748771902,0.954030744517859,0.9788846053672688,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,2.0,0.125,autocorrelation,0.9385160292254372,0.910192240232598,0.9584590429433753,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,3.0,0.1875,autocorrelation,0.9077868853267502,0.8657431886682875,0.9376490186541284,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,4.0,0.25,autocorrelation,0.8760659388000306,0.8165331158587076,0.9175963259430188,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,5.0,0.3125,autocorrelation,0.8440037473847317,0.7663089496748031,0.8968391033142714,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,6.0,0.375,autocorrelation,0.8116046545929364,0.719305845438839,0.8752145426325794,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,7.0,0.4375,autocorrelation,0.780403723176759,0.6726541608009473,0.8551023700261283,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,8.0,0.5,autocorrelation,0.7461693040672236,0.619191125130482,0.8356513388699797,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,9.0,0.5625,autocorrelation,0.7124926349993185,0.5672099590681822,0.8142004854558351,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,10.0,0.625,autocorrelation,0.6780461515804356,0.5203374958527852,0.7903180960710459,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,11.0,0.6875,autocorrelation,0.6466976984021625,0.4814402251077054,0.7679165297733253,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,12.0,0.75,autocorrelation,0.6194505628335883,0.4499918345021657,0.7454549686916824,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,13.0,0.8125,autocorrelation,0.5927363470834521,0.4221427017492254,0.7232440416575902,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,14.0,0.875,autocorrelation,0.5671708174883117,0.3976521265767055,0.6975979269022873,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,15.0,0.9375,autocorrelation,0.5435176806815781,0.374237232076788,0.6746428858170782,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,16.0,1.0,autocorrelation,0.5209542215449556,0.3522439667323495,0.6604550994412771,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,17.0,1.0625,autocorrelation,0.5007939277707931,0.3323404838551667,0.6379250037518259,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,18.0,1.125,autocorrelation,0.4793468756863503,0.3064131315994789,0.6180897209951756,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,19.0,1.1875,autocorrelation,0.4588603265952445,0.2905397535602023,0.6081772300721145,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,20.0,1.25,autocorrelation,0.4400989689177844,0.2735864278182309,0.5831819777903751,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,21.0,1.3125,autocorrelation,0.4234370190327242,0.2625808144924365,0.570853331430894,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,22.0,1.375,autocorrelation,0.401930568179807,0.2411636688296921,0.54832603421043,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,23.0,1.4375,autocorrelation,0.3829679015617434,0.2225093290173336,0.5327609346946776,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,24.0,1.5,autocorrelation,0.364930277385991,0.2064217447334425,0.5163683648910014,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,25.0,1.5625,autocorrelation,0.3441752141840766,0.1840451770484252,0.5007748818937784,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,26.0,1.625,autocorrelation,0.3246181166763473,0.1670048606049753,0.484430105514378,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,27.0,1.6875,autocorrelation,0.3018776048820318,0.1386499516127034,0.4692532442552377,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,28.0,1.75,autocorrelation,0.2797668377098233,0.1099009524851342,0.444229779616252,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,29.0,1.8125,autocorrelation,0.2580572946382016,0.0857584023745333,0.4290550162847059,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,30.0,1.875,autocorrelation,0.2360075458547004,0.056363609257511,0.406903148053368,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,31.0,1.9375,autocorrelation,0.214333580279717,0.0331194891210029,0.388942338059184,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_scrambled,recovery,32.0,2.0,autocorrelation,0.1929131230892697,0.0091823572606223,0.3707083415258649,6.0,6.0,0.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,0.0,0.0,autocorrelation,1.0,1.0,1.0,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,1.0,0.0625,autocorrelation,0.9658995346896058,0.944661606649449,0.985269231909438,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,2.0,0.125,autocorrelation,0.9315125108471912,0.8888581847833473,0.9704146758517284,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,3.0,0.1875,autocorrelation,0.8968353011495668,0.832583847964789,0.955434764890578,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,4.0,0.25,autocorrelation,0.8618642167934878,0.7758326099867514,0.940327905531452,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
