run_id,application,scenario_name,seed,n_agents,method,rl_training_seed,option,option_name,option_count,decision_count,option_proportion
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,8208,10,doet_rl,7303,7,emergency,7,48,0.14583333333333334
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,8208,10,doet_rl,7303,8,silent,0,48,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,0,continue,2,130,0.015384615384615385
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,1,request_info,2,130,0.015384615384615385
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,2,disclose_summary,0,130,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,3,negotiate,26,130,0.2
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,4,respond_offer,19,130,0.14615384615384616
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,5,propose_coalition,24,130,0.18461538461538463
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,6,request_reallocation,50,130,0.38461538461538464
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,7,emergency,7,130,0.05384615384615385
holdout_locked-commercial-learned_no_entropy-n10-s8101-isolated-r7304,commercial,isolated,8101,10,learned_no_entropy,7304,8,silent,0,130,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,0,continue,4,128,0.03125
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,1,request_info,2,128,0.015625
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,2,disclose_summary,0,128,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,3,negotiate,23,128,0.1796875
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,4,respond_offer,24,128,0.1875
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,5,propose_coalition,35,128,0.2734375
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,6,request_reallocation,30,128,0.234375
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,7,emergency,8,128,0.0625
holdout_locked-commercial-learned_no_entropy-n10-s8102-isolated-r7305,commercial,isolated,8102,10,learned_no_entropy,7305,8,silent,2,128,0.015625
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,0,continue,2,127,0.015748031496062992
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,1,request_info,2,127,0.015748031496062992
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,2,disclose_summary,0,127,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,3,negotiate,33,127,0.25984251968503935
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,4,respond_offer,10,127,0.07874015748031496
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,5,propose_coalition,21,127,0.16535433070866143
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,6,request_reallocation,54,127,0.4251968503937008
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,7,emergency,5,127,0.03937007874015748
holdout_locked-commercial-learned_no_entropy-n10-s8103-isolated-r7301,commercial,isolated,8103,10,learned_no_entropy,7301,8,silent,0,127,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,0,continue,4,118,0.03389830508474576
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,1,request_info,2,118,0.01694915254237288
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,2,disclose_summary,0,118,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,3,negotiate,21,118,0.17796610169491525
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,4,respond_offer,32,118,0.2711864406779661
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,5,propose_coalition,18,118,0.15254237288135594
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,6,request_reallocation,33,118,0.2796610169491525
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,7,emergency,6,118,0.05084745762711865
holdout_locked-commercial-learned_no_entropy-n10-s8104-isolated-r7302,commercial,isolated,8104,10,learned_no_entropy,7302,8,silent,2,118,0.01694915254237288
holdout_locked-commercial-learned_no_entropy-n10-s8105-isolated-r7303,commercial,isolated,8105,10,learned_no_entropy,7303,0,continue,1,114,0.008771929824561403
holdout_locked-commercial-learned_no_entropy-n10-s8105-isolated-r7303,commercial,isolated,8105,10,learned_no_entropy,7303,1,request_info,2,114,0.017543859649122806
