candidate_name,application,method,panels,mean_sketch_bytes,mean_fully_counted_bytes,mean_sketch_byte_reduction,mean_fully_counted_byte_reduction,mean_message_reduction,mean_estimation_error,mean_estimation_error_increase,mean_disagreement_error,mean_disagreement_error_increase,mean_detection_delay_increase,maximum_pointwise_p95,mean_service_loss_increase,mean_harmful_action_increase,mean_reward_degradation,mean_activation_rate
periodic_42,utility_restoration,periodic,4,223220.0,278845.0,0.6069527216576028,0.5110730614925135,0.6069527216576028,0.0549749389579342,0.007757796891675952,0.03984634459379125,0.007218331085423677,0.5714285714285712,0.1703397803840941,-4.76627683766236,0.25,-0.002460038280126947,0.3520833333333333
random_015,humanitarian,matched_random,4,270290.0,356192.5,0.5115150753036292,0.4271130303541842,0.5115150753036292,0.05764717507078424,0.007772089393883175,0.044151379205423565,0.01119988363503937,0.38197729422894966,0.1257635391701376,103.7167709667986,0.25,0.028640432498231116,0.4548534798534798
random_015,utility_restoration,matched_random,4,272350.0,327908.75,0.5221906904846498,0.4384040111038388,0.5221906904846498,0.0513570751727754,0.004139933106517149,0.03761910794198275,0.004991094433615176,0.21428571428571427,0.1611218765246632,-4.76627683766236,0.5,-0.0011030564010426208,0.4478937728937728
random_030,humanitarian,matched_random,4,297680.0,383587.0,0.4423271042513448,0.36913800931720897,0.4423271042513448,0.05615332023136458,0.0062782345544635,0.0416270065653231,0.0086755109949389,0.357142857142857,0.1208876601941253,125.7773858657659,0.0,0.03755670806956368,0.5329899267399266
random_030,utility_restoration,matched_random,4,302970.0,358604.0,0.4517697181736156,0.3792256929788432,0.4517697181736156,0.04980131390656677,0.002584171840308524,0.03613707883121258,0.0035090653228450016,0.0714285714285714,0.1522639323145217,-4.76627683766236,0.25,-0.0015096384248916989,0.5227220695970696
random_045,humanitarian,matched_random,4,329060.0,414838.75,0.35946345921579814,0.30154983883273156,0.35946345921579814,0.05450693813977103,0.0046318524628699495,0.03943083688742613,0.0064793413170419235,0.357142857142857,0.1208876601941253,148.76235105826282,-0.25,0.029176199386281465,0.6183608058608059
random_045,utility_restoration,matched_random,4,331530.0,387338.5,0.3837392183631447,0.3217040720048396,0.3837392183631447,0.04908516089610598,0.0018680188298477243,0.035260306821184376,0.0026322933128168024,0.0714285714285714,0.1358338075347772,-4.76627683766236,0.25,-0.0015096384248916989,0.597985347985348
spectrum_004,humanitarian,tsallis_spectrum_change,4,390580.0,476417.5,0.21610242632239327,0.17213505762602135,0.21610242632239327,0.05084948826507704,0.0009744025881759742,0.03403139642835625,0.0010799008579720493,0.0,0.1112033320568194,65.60501041848983,0.0,0.07563853464646186,0.7729281135531135
spectrum_004,utility_restoration,tsallis_spectrum_change,4,376320.0,431844.75,0.24197915793048375,0.2047569251973738,0.24197915793048375,0.04802047562918799,0.0008033335629297495,0.03287244144675798,0.00024442793839040203,0.0,0.1346904040455976,-4.76627683766236,0.0,-0.0024418068846728813,0.746577380952381
spectrum_008,humanitarian,tsallis_spectrum_change,4,318400.0,404166.25,0.3748575293802437,0.30736764398593147,0.3748575293802437,0.05282284924265865,0.0029477635657575735,0.0367089975806382,0.0037575020102539984,0.0,0.1136786406520118,-258.18035802608483,0.5,-0.03757028421155628,0.6047962454212455
spectrum_008,utility_restoration,tsallis_spectrum_change,4,306550.0,361832.25,0.4140154260789563,0.34979840006209745,0.4140154260789563,0.049005320150296794,0.0017881780840385483,0.03418607868850448,0.001558065180136901,0.0,0.1346904040455976,-4.76627683766236,0.0,-0.0022280752866320475,0.568543956043956
uncertainty_004,humanitarian,predictive_uncertainty_change,4,403180.0,489081.5,0.17619226345032282,0.14116236164100107,0.17619226345032282,0.050651137952675694,0.0007760522757746229,0.033603831497861725,0.0006523359274775249,0.0,0.1125377800524817,-9.545866859414332,-0.5,0.00490451322738894,0.8168154761904763
uncertainty_004,utility_restoration,predictive_uncertainty_change,4,391330.0,446974.25,0.2152775943552431,0.18244860888275116,0.2152775943552431,0.04763704519136335,0.0004199031251051009,0.032940558316850374,0.0003125448084828021,0.0,0.1346904040455976,0.0,0.0,0.00045951427646669096,0.7731456043956043
uncertainty_008,humanitarian,predictive_uncertainty_change,4,341130.0,426841.25,0.33373577488854633,0.27619314964832214,0.33373577488854633,0.05248499429229572,0.0026099086153946478,0.03638557599707718,0.0034340804266929734,0.0,0.1136786406520118,-4.686024477617593,-0.75,-0.016004221830789755,0.6491300366300367
uncertainty_008,utility_restoration,predictive_uncertainty_change,4,333030.0,388367.5,0.349582940345368,0.29558505753501035,0.349582940345368,0.04855295046774685,0.0013358084014885984,0.03418408432349212,0.0015560708151245517,0.0,0.1346904040455976,-4.76627683766236,0.25,-0.0025318782871295714,0.626705586080586
v7_shannon_003,humanitarian,v7_shannon_change,4,395440.0,481344.0,0.2122976540038799,0.17062738852773304,0.2122976540038799,0.05104701972997205,0.0011719340530709742,0.034406058883558896,0.0014545633131746987,0.0,0.1106645373975906,96.69706718135348,0.75,0.08064737236095176,0.7809294871794871
v7_shannon_003,utility_restoration,v7_shannon_change,4,388110.0,443638.0,0.2346364484332407,0.1979955682321751,0.2346364484332407,0.048261913641418096,0.0010447715751598485,0.03320198790071254,0.0005739743923449756,0.0,0.1346904040455976,-4.76627683766236,0.0,-0.0024418068846728813,0.757154304029304
v7_shannon_006,humanitarian,v7_shannon_change,4,335630.0,421400.25,0.3444260485781332,0.2816404186082257,0.3444260485781332,0.0522127629624571,0.002337677285556023,0.036115536396652645,0.0031640408262684477,0.0,0.1136786406520118,86.9788720824036,0.75,0.05261216098902899,0.6426167582417582
v7_shannon_006,utility_restoration,v7_shannon_change,4,328020.0,383603.5,0.37781231704135476,0.3178222141242199,0.37781231704135476,0.048792110712526975,0.0015749686462687255,0.03391062442214995,0.0012826109137823779,0.0,0.1346904040455976,-4.76627683766236,0.25,-0.002561713954753006,0.6029647435897436
