application,time,independent_n,belief_order_mean,belief_order_ci_low,belief_order_ci_high,action_order_mean,action_order_ci_low,action_order_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,belief_entropy_mean,belief_entropy_ci_low,belief_entropy_ci_high,action_entropy_mean,action_entropy_ci_low,action_entropy_ci_high,entropy_flow_per_update_mean,entropy_flow_per_update_ci_low,entropy_flow_per_update_ci_high,workload_density_mean,workload_density_ci_low,workload_density_ci_high,service_loss_mean,service_loss_ci_low,service_loss_ci_high,cascade_depth_mean,cascade_depth_ci_low,cascade_depth_ci_high,activity_mean,activity_ci_low,activity_ci_high
humanitarian,72,8,-0.28125,-0.5736231028,0.01112310282,-0.12109375,-0.2925615204,0.05037402041,0.41796875,0.3239762252,0.5119612748,0.803987095,0.6097513952,0.9982227948,0.9486107134,0.8886334264,1.008588,-0.0007873136121,-0.05023436597,0.04865973875,0.2632552809,0.2494221095,0.2770884523,16.84833798,15.96301501,17.73366094,2.125,1.344727612,2.905272388,0.2802734375,0.24316544,0.317381435
humanitarian,73,8,-0.25390625,-0.5318156204,0.02400312041,-0.11328125,-0.247741343,0.02117884297,0.40625,0.3303465869,0.4821534131,0.8282073304,0.6380008052,1.018413856,0.9655581239,0.9140282845,1.017087963,-0.009864553838,-0.04448202408,0.02475291641,0.2619564527,0.2475374552,0.2763754502,16.76521298,15.84239714,17.68802882,2.125,1.344727612,2.905272388,0.2412109375,0.1941534639,0.2882684111
humanitarian,74,8,-0.21875,-0.5074337045,0.06993370451,-0.12890625,-0.2759780098,0.01816550983,0.38671875,0.2800402711,0.4933972289,0.8362274365,0.6655723507,1.006882522,0.9572887869,0.8916986365,1.022878937,0.003735135581,-0.01612295972,0.02359323088,0.2618972579,0.2471785551,0.2766159608,16.76142451,15.81942752,17.70342149,2.125,1.344727612,2.905272388,0.2412109375,0.1977618994,0.2846599756
humanitarian,75,8,-0.21484375,-0.5057092839,0.07602178386,-0.109375,-0.2468224331,0.02807243313,0.40234375,0.3234647324,0.4812227676,0.8335190205,0.6510368055,1.016001236,0.9656350393,0.9273244481,1.00394563,0.02544355975,-0.01807809524,0.06896521475,0.2607909699,0.2454380194,0.2761439203,16.69062207,15.70803324,17.6732109,2.125,1.344727612,2.905272388,0.24609375,0.2268985154,0.2652889846
humanitarian,76,8,-0.21484375,-0.4961076819,0.06642018195,-0.14453125,-0.3161942585,0.02713175847,0.390625,0.2808133715,0.5004366285,0.8435420491,0.6724016375,1.014682461,0.9437877899,0.8817788108,1.005796769,-0.01258204359,-0.0497993535,0.02463526632,0.2606347199,0.2453358831,0.2759335566,16.68062207,15.70149652,17.65974763,2.125,1.344727612,2.905272388,0.2529296875,0.2153173679,0.2905420071
humanitarian,77,8,-0.19140625,-0.5139438341,0.1311313341,-0.171875,-0.3048634863,-0.03888651366,0.37890625,0.2694383207,0.4883741793,0.8013440136,0.5702968289,1.032391198,0.9531583205,0.8892812932,1.017035348,0.01795066374,-0.01871044594,0.05461177342,0.2610253449,0.245683867,0.2763668228,16.70562207,15.72376748,17.68747666,2.125,1.344727612,2.905272388,0.2451171875,0.1842830278,0.3059513472
humanitarian,78,8,-0.23828125,-0.522977883,0.04641538302,-0.1640625,-0.3175152742,-0.01060972581,0.47265625,0.3669239404,0.5783885596,0.8242165049,0.6130147429,1.035418267,0.9461234208,0.8657841713,1.02646267,0.01229918662,-0.02156460761,0.04616298085,0.2608690949,0.2449394973,0.2767986924,16.69562207,15.67612783,17.71511632,2.125,1.344727612,2.905272388,0.212890625,0.1734511162,0.2523301338
humanitarian,79,8,-0.27734375,-0.5436825428,-0.01100495722,-0.1328125,-0.3004526582,0.03482765824,0.38671875,0.3074162179,0.4660212821,0.8192152806,0.5933509203,1.045079641,0.9468345921,0.8663347903,1.027334394,-0.008065404932,-0.04557173447,0.02944092461,0.2605024385,0.2445296713,0.2764752056,16.67215606,15.64989897,17.69441316,2.125,1.344727612,2.905272388,0.216796875,0.1753893721,0.2582043779
humanitarian,80,8,-0.234375,-0.5129013957,0.04415139574,-0.15625,-0.3195377541,0.007037754057,0.40625,0.2989063637,0.5135936363,0.8321834152,0.6279288121,1.036438018,0.9442637656,0.8707976287,1.017729902,-0.02121887553,-0.07566376837,0.03322601732,0.2597504853,0.243830862,0.2756701086,16.62403106,15.60517517,17.64288695,2.125,1.344727612,2.905272388,0.2275390625,0.1862644893,0.2688136357
humanitarian,81,8,-0.18359375,-0.451937238,0.08474973798,-0.1640625,-0.3218205352,-0.006304464844,0.38671875,0.2920161677,0.4814213323,0.8639448879,0.6966219307,1.031267845,0.9462131971,0.8983613523,0.9940650418,0.002281892413,-0.03708290109,0.04164668591,0.2917000917,0.2747134041,0.3086867793,18.66880587,17.58165786,19.75595388,2.25,1.532713446,2.967286554,0.2255859375,0.1965848,0.254587075
