application,scenario_name,seed,n_agents,option,option_name,option_proportion_difference_doet_minus_nonentropy,doet_rl_option_proportion,learned_no_entropy_option_proportion,doet_rl_decision_count,learned_no_entropy_decision_count,doet_rl_training_seed,learned_no_entropy_training_seed,panel_option_total_variation_distance
commercial,isolated,8114,10,8,silent,-0.015873015873015872,0.0,0.015873015873015872,55,126,7302,7302,0.377056277056277
commercial,isolated,8115,10,0,continue,0.4417069243156199,0.45652173913043476,0.014814814814814815,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,1,request_info,-0.014814814814814815,0.0,0.014814814814814815,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,2,disclose_summary,0.0,0.0,0.0,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,3,negotiate,-0.2,0.0,0.2,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,4,respond_offer,-0.2222222222222222,0.0,0.2222222222222222,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,5,propose_coalition,-0.010789049919484706,0.15217391304347827,0.16296296296296298,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,6,request_reallocation,0.00853462157809981,0.2826086956521739,0.2740740740740741,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,7,emergency,0.020289855072463767,0.08695652173913043,0.06666666666666667,46,135,7303,7303,0.4705314009661835
commercial,isolated,8115,10,8,silent,-0.022705314009661838,0.021739130434782608,0.044444444444444446,46,135,7303,7303,0.4705314009661835
commercial,isolated,8116,10,0,continue,0.3298872180451128,0.375,0.045112781954887216,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,1,request_info,-0.015037593984962405,0.0,0.015037593984962405,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,2,disclose_summary,0.0,0.0,0.0,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,3,negotiate,-0.16541353383458646,0.0,0.16541353383458646,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,4,respond_offer,-0.22556390977443608,0.0,0.22556390977443608,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,5,propose_coalition,-0.06672932330827067,0.19642857142857142,0.2631578947368421,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,6,request_reallocation,0.11090225563909778,0.32142857142857145,0.21052631578947367,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,7,emergency,0.03195488721804511,0.10714285714285714,0.07518796992481203,56,133,7304,7304,0.47274436090225563
commercial,isolated,8116,10,8,silent,0.0,0.0,0.0,56,133,7304,7304,0.47274436090225563
commercial,communication_partition,8101,10,0,continue,0.5277173913043478,0.5625,0.034782608695652174,32,115,7305,7305,0.6543478260869566
commercial,communication_partition,8101,10,1,request_info,-0.017391304347826087,0.0,0.017391304347826087,32,115,7305,7305,0.6543478260869566
commercial,communication_partition,8101,10,2,disclose_summary,0.0,0.0,0.0,32,115,7305,7305,0.6543478260869566
