family,cluster_id,metric,alpha,paired_difference
collective_network,collective_n16_modular_k0.80_t0.85_g1,markov_epr_nats_per_update,0.8,-0.024422724605757583
collective_network,collective_n16_ring_k0.35_t0.50_g0,markov_epr_nats_per_update,0.8,7.614443260652438e-27
collective_network,collective_n16_ring_k0.35_t0.50_g1,markov_epr_nats_per_update,0.8,-1.537653953634245e-27
collective_network,collective_n16_ring_k0.35_t0.85_g0,markov_epr_nats_per_update,0.8,1.5057492667524757e-28
collective_network,collective_n16_ring_k0.35_t0.85_g1,markov_epr_nats_per_update,0.8,0.007326116956942065
collective_network,collective_n16_ring_k0.80_t0.50_g0,markov_epr_nats_per_update,0.8,-1.5725943981232849e-28
collective_network,collective_n16_ring_k0.80_t0.50_g1,markov_epr_nats_per_update,0.8,7.340601033788974e-29
collective_network,collective_n16_ring_k0.80_t0.85_g0,markov_epr_nats_per_update,0.8,1.6468087994997384e-28
collective_network,collective_n16_ring_k0.80_t0.85_g1,markov_epr_nats_per_update,0.8,-3.087519682864155e-29
collective_network,collective_n8_modular_k0.35_t0.50_g0,markov_epr_nats_per_update,0.8,1.504632769052528e-31
collective_network,collective_n8_modular_k0.35_t0.50_g1,markov_epr_nats_per_update,0.8,6.00527710074024e-27
collective_network,collective_n8_modular_k0.35_t0.85_g0,markov_epr_nats_per_update,0.8,3.4944090966555236e-29
collective_network,collective_n8_modular_k0.35_t0.85_g1,markov_epr_nats_per_update,0.8,-3.150532499525857e-30
collective_network,collective_n8_modular_k0.80_t0.50_g0,markov_epr_nats_per_update,0.8,3.4248114051433375e-29
collective_network,collective_n8_modular_k0.80_t0.50_g1,markov_epr_nats_per_update,0.8,-1.2194290258255137e-29
collective_network,collective_n8_modular_k0.80_t0.85_g0,markov_epr_nats_per_update,0.8,2.9106549156868914e-29
collective_network,collective_n8_modular_k0.80_t0.85_g1,markov_epr_nats_per_update,0.8,1.6629622660743874e-29
collective_network,collective_n8_ring_k0.35_t0.50_g0,markov_epr_nats_per_update,0.8,0.0
collective_network,collective_n8_ring_k0.35_t0.50_g1,markov_epr_nats_per_update,0.8,-3.850981183237346e-29
collective_network,collective_n8_ring_k0.35_t0.85_g0,markov_epr_nats_per_update,0.8,4.8148248609680896e-33
collective_network,collective_n8_ring_k0.35_t0.85_g1,markov_epr_nats_per_update,0.8,0.0
collective_network,collective_n8_ring_k0.80_t0.50_g0,markov_epr_nats_per_update,0.8,-1.185048768905771e-30
collective_network,collective_n8_ring_k0.80_t0.50_g1,markov_epr_nats_per_update,0.8,-2.8484190913871255e-29
collective_network,collective_n8_ring_k0.80_t0.85_g0,markov_epr_nats_per_update,0.8,-4.8581582847168024e-30
collective_network,collective_n8_ring_k0.80_t0.85_g1,markov_epr_nats_per_update,0.8,-7.703719777548943e-34
collective_network,collective_n16_modular_k0.35_t0.50_g0,mean_abs_belief_magnetization,0.8,0.010416666666666664
collective_network,collective_n16_modular_k0.35_t0.50_g1,mean_abs_belief_magnetization,0.8,-0.054036458333333315
collective_network,collective_n16_modular_k0.35_t0.85_g0,mean_abs_belief_magnetization,0.8,0.0
collective_network,collective_n16_modular_k0.35_t0.85_g1,mean_abs_belief_magnetization,0.8,-0.07291666666666667
collective_network,collective_n16_modular_k0.80_t0.50_g0,mean_abs_belief_magnetization,0.8,0.02604166666666667
collective_network,collective_n16_modular_k0.80_t0.50_g1,mean_abs_belief_magnetization,0.8,-0.042968749999999986
collective_network,collective_n16_modular_k0.80_t0.85_g0,mean_abs_belief_magnetization,0.8,-0.0013020833333333322
collective_network,collective_n16_modular_k0.80_t0.85_g1,mean_abs_belief_magnetization,0.8,0.011718750000000003
collective_network,collective_n16_ring_k0.35_t0.50_g0,mean_abs_belief_magnetization,0.8,-0.050130208333333315
collective_network,collective_n16_ring_k0.35_t0.50_g1,mean_abs_belief_magnetization,0.8,0.04101562500000001
collective_network,collective_n16_ring_k0.35_t0.85_g0,mean_abs_belief_magnetization,0.8,0.06510416666666666
collective_network,collective_n16_ring_k0.35_t0.85_g1,mean_abs_belief_magnetization,0.8,0.005859375
collective_network,collective_n16_ring_k0.80_t0.50_g0,mean_abs_belief_magnetization,0.8,0.044921875
collective_network,collective_n16_ring_k0.80_t0.50_g1,mean_abs_belief_magnetization,0.8,0.10807291666666666
collective_network,collective_n16_ring_k0.80_t0.85_g0,mean_abs_belief_magnetization,0.8,0.013671875
collective_network,collective_n16_ring_k0.80_t0.85_g1,mean_abs_belief_magnetization,0.8,-0.057942708333333315
collective_network,collective_n8_modular_k0.35_t0.50_g0,mean_abs_belief_magnetization,0.8,-0.010416666666666657
collective_network,collective_n8_modular_k0.35_t0.50_g1,mean_abs_belief_magnetization,0.8,-0.1484375
collective_network,collective_n8_modular_k0.35_t0.85_g0,mean_abs_belief_magnetization,0.8,-0.049479166666666685
collective_network,collective_n8_modular_k0.35_t0.85_g1,mean_abs_belief_magnetization,0.8,-0.033854166666666664
collective_network,collective_n8_modular_k0.80_t0.50_g0,mean_abs_belief_magnetization,0.8,0.0
collective_network,collective_n8_modular_k0.80_t0.50_g1,mean_abs_belief_magnetization,0.8,0.059895833333333356
collective_network,collective_n8_modular_k0.80_t0.85_g0,mean_abs_belief_magnetization,0.8,0.0
collective_network,collective_n8_modular_k0.80_t0.85_g1,mean_abs_belief_magnetization,0.8,0.03906249999999999
collective_network,collective_n8_ring_k0.35_t0.50_g0,mean_abs_belief_magnetization,0.8,0.0
collective_network,collective_n8_ring_k0.35_t0.50_g1,mean_abs_belief_magnetization,0.8,0.0078125
collective_network,collective_n8_ring_k0.35_t0.85_g0,mean_abs_belief_magnetization,0.8,0.013020833333333332
collective_network,collective_n8_ring_k0.35_t0.85_g1,mean_abs_belief_magnetization,0.8,0.0
collective_network,collective_n8_ring_k0.80_t0.50_g0,mean_abs_belief_magnetization,0.8,-0.1015625
collective_network,collective_n8_ring_k0.80_t0.50_g1,mean_abs_belief_magnetization,0.8,-0.08333333333333331
collective_network,collective_n8_ring_k0.80_t0.85_g0,mean_abs_belief_magnetization,0.8,-0.015625
collective_network,collective_n8_ring_k0.80_t0.85_g1,mean_abs_belief_magnetization,0.8,-0.07291666666666666
collective_network,collective_n16_modular_k0.35_t0.50_g0,belief_susceptibility,0.8,0.03640350877192982
collective_network,collective_n16_modular_k0.35_t0.50_g1,belief_susceptibility,0.8,0.09137883771929825
collective_network,collective_n16_modular_k0.35_t0.85_g0,belief_susceptibility,0.8,0.0
collective_network,collective_n16_modular_k0.35_t0.85_g1,belief_susceptibility,0.8,-0.053097587719298234
collective_network,collective_n16_modular_k0.80_t0.50_g0,belief_susceptibility,0.8,-0.09728618421052634
collective_network,collective_n16_modular_k0.80_t0.50_g1,belief_susceptibility,0.8,-0.13580043859649116
collective_network,collective_n16_modular_k0.80_t0.85_g0,belief_susceptibility,0.8,-0.0016721491228070262
collective_network,collective_n16_modular_k0.80_t0.85_g1,belief_susceptibility,0.8,0.016639254385964912
collective_network,collective_n16_ring_k0.35_t0.50_g0,belief_susceptibility,0.8,0.10409813596491231
collective_network,collective_n16_ring_k0.35_t0.50_g1,belief_susceptibility,0.8,0.011691337719298256
collective_network,collective_n16_ring_k0.35_t0.85_g0,belief_susceptibility,0.8,-0.007044956140350868
collective_network,collective_n16_ring_k0.35_t0.85_g1,belief_susceptibility,0.8,-0.006976425438596494
collective_network,collective_n16_ring_k0.80_t0.50_g0,belief_susceptibility,0.8,-0.0810718201754386
collective_network,collective_n16_ring_k0.80_t0.50_g1,belief_susceptibility,0.8,0.22297149122807014
collective_network,collective_n16_ring_k0.80_t0.85_g0,belief_susceptibility,0.8,-0.052782346491228094
collective_network,collective_n16_ring_k0.80_t0.85_g1,belief_susceptibility,0.8,0.14719024122807017
collective_network,collective_n8_modular_k0.35_t0.50_g0,belief_susceptibility,0.8,-0.049645390070922
collective_network,collective_n8_modular_k0.35_t0.50_g1,belief_susceptibility,0.8,0.021387411347517732
collective_network,collective_n8_modular_k0.35_t0.85_g0,belief_susceptibility,0.8,0.07369237588652486
collective_network,collective_n8_modular_k0.35_t0.85_g1,belief_susceptibility,0.8,-0.05042109929078015
collective_network,collective_n8_modular_k0.80_t0.50_g0,belief_susceptibility,0.8,0.0
collective_network,collective_n8_modular_k0.80_t0.50_g1,belief_susceptibility,0.8,-0.03379875886524822
collective_network,collective_n8_modular_k0.80_t0.85_g0,belief_susceptibility,0.8,0.13696808510638295
collective_network,collective_n8_modular_k0.80_t0.85_g1,belief_susceptibility,0.8,0.051529255319148946
collective_network,collective_n8_ring_k0.35_t0.50_g0,belief_susceptibility,0.8,0.0
collective_network,collective_n8_ring_k0.35_t0.50_g1,belief_susceptibility,0.8,-0.05551861702127661
collective_network,collective_n8_ring_k0.35_t0.85_g0,belief_susceptibility,0.8,0.015181737588652475
collective_network,collective_n8_ring_k0.35_t0.85_g1,belief_susceptibility,0.8,0.0
collective_network,collective_n8_ring_k0.80_t0.50_g0,belief_susceptibility,0.8,0.006981382978723402
collective_network,collective_n8_ring_k0.80_t0.50_g1,belief_susceptibility,0.8,-0.03856382978723405
collective_network,collective_n8_ring_k0.80_t0.85_g0,belief_susceptibility,0.8,-0.00022163120567374184
collective_network,collective_n8_ring_k0.80_t0.85_g1,belief_susceptibility,0.8,-0.09397163120567377
collective_network,collective_n16_modular_k0.35_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,0.9092475170389314
collective_network,collective_n16_modular_k0.35_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,8.762306521627366
collective_network,collective_n16_modular_k0.35_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,0.0
collective_network,collective_n16_modular_k0.35_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,-4.266553063979011
collective_network,collective_n16_modular_k0.80_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,-0.055248040796211484
collective_network,collective_n16_modular_k0.80_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,-0.7304508232819522
collective_network,collective_n16_modular_k0.80_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,-0.7440427721925147
collective_network,collective_n16_modular_k0.80_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,4.964895645506395
collective_network,collective_n16_ring_k0.35_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,11.68058367987177
collective_network,collective_n16_ring_k0.35_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,-4.861582552047388
collective_network,collective_n16_ring_k0.35_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,4.553098421432167
collective_network,collective_n16_ring_k0.35_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,0.9712112235230226
collective_network,collective_n16_ring_k0.80_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,0.8447626293001882
collective_network,collective_n16_ring_k0.80_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,9.444218814422179
collective_network,collective_n16_ring_k0.80_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,-8.154688155265717
collective_network,collective_n16_ring_k0.80_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,-3.103133223023246
collective_network,collective_n8_modular_k0.35_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,0.5828933340271512
collective_network,collective_n8_modular_k0.35_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,2.3382536213991445
collective_network,collective_n8_modular_k0.35_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,1.1150638070133008
collective_network,collective_n8_modular_k0.35_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,-5.964985490181464
collective_network,collective_n8_modular_k0.80_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,0.0
