representation,held_out_cluster,class,feature,standardized_coefficient
order_only,V14Q_g5,network_partition,delta_belief_action_overlap,-0.010828379556186136
order_only,V14Q_g5,network_partition,recovery_belief_action_overlap,-0.002134340068374839
order_only,V14Q_g5,network_partition,peak_belief_action_overlap,-0.04280681334876856
order_only,V14Q_g5,nominal,delta_belief_magnetization,0.09998718954896689
order_only,V14Q_g5,nominal,recovery_belief_magnetization,-0.11347239764778785
order_only,V14Q_g5,nominal,peak_belief_magnetization,0.3239556490541157
order_only,V14Q_g5,nominal,delta_action_magnetization,0.27086203735379655
order_only,V14Q_g5,nominal,recovery_action_magnetization,-0.13536110648310562
order_only,V14Q_g5,nominal,peak_action_magnetization,0.06915467355041287
order_only,V14Q_g5,nominal,delta_belief_action_overlap,-0.048059121253201456
order_only,V14Q_g5,nominal,recovery_belief_action_overlap,-0.06288446938939106
order_only,V14Q_g5,nominal,peak_belief_action_overlap,-0.09749854655063458
simple_uncertainty,V14Q_g0,field_reversal,delta_mean_confidence,0.043055124310286776
simple_uncertainty,V14Q_g0,field_reversal,recovery_mean_confidence,0.5809402368964498
simple_uncertainty,V14Q_g0,field_reversal,peak_mean_confidence,0.21060082392978993
simple_uncertainty,V14Q_g0,field_reversal,delta_mean_individual_uncertainty,-0.021633451299999287
simple_uncertainty,V14Q_g0,field_reversal,recovery_mean_individual_uncertainty,-0.5613974680010801
simple_uncertainty,V14Q_g0,field_reversal,peak_mean_individual_uncertainty,0.15755928001526123
simple_uncertainty,V14Q_g0,field_reversal,delta_belief_disagreement,0.19042461405439243
simple_uncertainty,V14Q_g0,field_reversal,recovery_belief_disagreement,0.022230131405792008
simple_uncertainty,V14Q_g0,field_reversal,peak_belief_disagreement,-0.6999368952878289
simple_uncertainty,V14Q_g0,message_corruption,delta_mean_confidence,0.20627201174248005
simple_uncertainty,V14Q_g0,message_corruption,recovery_mean_confidence,-0.04057842176683356
simple_uncertainty,V14Q_g0,message_corruption,peak_mean_confidence,-0.05393794371454766
simple_uncertainty,V14Q_g0,message_corruption,delta_mean_individual_uncertainty,-0.15275569793130456
simple_uncertainty,V14Q_g0,message_corruption,recovery_mean_individual_uncertainty,0.19705928929646335
simple_uncertainty,V14Q_g0,message_corruption,peak_mean_individual_uncertainty,-0.15623085624654479
simple_uncertainty,V14Q_g0,message_corruption,delta_belief_disagreement,0.07112829183388104
simple_uncertainty,V14Q_g0,message_corruption,recovery_belief_disagreement,0.08497188059892886
simple_uncertainty,V14Q_g0,message_corruption,peak_belief_disagreement,0.34101751561321714
simple_uncertainty,V14Q_g0,network_partition,delta_mean_confidence,-0.1700007468503557
simple_uncertainty,V14Q_g0,network_partition,recovery_mean_confidence,-0.24387701378372256
simple_uncertainty,V14Q_g0,network_partition,peak_mean_confidence,-0.2795075347408006
simple_uncertainty,V14Q_g0,network_partition,delta_mean_individual_uncertainty,0.17858787887694605
simple_uncertainty,V14Q_g0,network_partition,recovery_mean_individual_uncertainty,0.20189429358905595
simple_uncertainty,V14Q_g0,network_partition,peak_mean_individual_uncertainty,-0.23058268450845443
simple_uncertainty,V14Q_g0,network_partition,delta_belief_disagreement,-0.2093857187332357
simple_uncertainty,V14Q_g0,network_partition,recovery_belief_disagreement,-0.246088795118605
simple_uncertainty,V14Q_g0,network_partition,peak_belief_disagreement,0.1538385157170786
simple_uncertainty,V14Q_g0,nominal,delta_mean_confidence,-0.07932638920241118
simple_uncertainty,V14Q_g0,nominal,recovery_mean_confidence,-0.29648480134589356
simple_uncertainty,V14Q_g0,nominal,peak_mean_confidence,0.12284465452555834
simple_uncertainty,V14Q_g0,nominal,delta_mean_individual_uncertainty,-0.004198729645642097
simple_uncertainty,V14Q_g0,nominal,recovery_mean_individual_uncertainty,0.16244388511556093
simple_uncertainty,V14Q_g0,nominal,peak_mean_individual_uncertainty,0.2292542607397379
simple_uncertainty,V14Q_g0,nominal,delta_belief_disagreement,-0.05216718715503768
simple_uncertainty,V14Q_g0,nominal,recovery_belief_disagreement,0.13888678311388422
simple_uncertainty,V14Q_g0,nominal,peak_belief_disagreement,0.20508086395753308
simple_uncertainty,V14Q_g1,field_reversal,delta_mean_confidence,-0.08011544460869212
simple_uncertainty,V14Q_g1,field_reversal,recovery_mean_confidence,0.5930845169780907
simple_uncertainty,V14Q_g1,field_reversal,peak_mean_confidence,0.18761990169152767
simple_uncertainty,V14Q_g1,field_reversal,delta_mean_individual_uncertainty,0.09292028126256223
simple_uncertainty,V14Q_g1,field_reversal,recovery_mean_individual_uncertainty,-0.5225296562091466
simple_uncertainty,V14Q_g1,field_reversal,peak_mean_individual_uncertainty,0.13117283393360304
simple_uncertainty,V14Q_g1,field_reversal,delta_belief_disagreement,0.15189645471045304
simple_uncertainty,V14Q_g1,field_reversal,recovery_belief_disagreement,-0.02585464306273967
simple_uncertainty,V14Q_g1,field_reversal,peak_belief_disagreement,-0.6462437175412367
simple_uncertainty,V14Q_g1,message_corruption,delta_mean_confidence,0.241063384337147
simple_uncertainty,V14Q_g1,message_corruption,recovery_mean_confidence,-0.19517911778182087
simple_uncertainty,V14Q_g1,message_corruption,peak_mean_confidence,-0.03494545753381027
simple_uncertainty,V14Q_g1,message_corruption,delta_mean_individual_uncertainty,-0.19229641388695712
simple_uncertainty,V14Q_g1,message_corruption,recovery_mean_individual_uncertainty,0.2800122992609729
simple_uncertainty,V14Q_g1,message_corruption,peak_mean_individual_uncertainty,-0.10627822253412803
simple_uncertainty,V14Q_g1,message_corruption,delta_belief_disagreement,0.05139142596472208
simple_uncertainty,V14Q_g1,message_corruption,recovery_belief_disagreement,-0.04393202259210054
simple_uncertainty,V14Q_g1,message_corruption,peak_belief_disagreement,0.10086723211469635
simple_uncertainty,V14Q_g1,network_partition,delta_mean_confidence,-0.10485995408187164
simple_uncertainty,V14Q_g1,network_partition,recovery_mean_confidence,-0.1476613999261014
simple_uncertainty,V14Q_g1,network_partition,peak_mean_confidence,-0.30657409472367647
simple_uncertainty,V14Q_g1,network_partition,delta_mean_individual_uncertainty,0.09675121795933928
simple_uncertainty,V14Q_g1,network_partition,recovery_mean_individual_uncertainty,0.05236564496780688
simple_uncertainty,V14Q_g1,network_partition,peak_mean_individual_uncertainty,-0.20217979450088194
simple_uncertainty,V14Q_g1,network_partition,delta_belief_disagreement,-0.1348798210049514
simple_uncertainty,V14Q_g1,network_partition,recovery_belief_disagreement,-0.1766303712170115
simple_uncertainty,V14Q_g1,network_partition,peak_belief_disagreement,0.04702993438403936
simple_uncertainty,V14Q_g1,nominal,delta_mean_confidence,-0.05608798564658315
simple_uncertainty,V14Q_g1,nominal,recovery_mean_confidence,-0.2502439992701683
simple_uncertainty,V14Q_g1,nominal,peak_mean_confidence,0.15389965056595908
simple_uncertainty,V14Q_g1,nominal,delta_mean_individual_uncertainty,0.0026249146650554776
simple_uncertainty,V14Q_g1,nominal,recovery_mean_individual_uncertainty,0.19015171198036668
simple_uncertainty,V14Q_g1,nominal,peak_mean_individual_uncertainty,0.17728518310140717
simple_uncertainty,V14Q_g1,nominal,delta_belief_disagreement,-0.06840805967022374
simple_uncertainty,V14Q_g1,nominal,recovery_belief_disagreement,0.24641703687185162
simple_uncertainty,V14Q_g1,nominal,peak_belief_disagreement,0.4983465510425007
simple_uncertainty,V14Q_g2,field_reversal,delta_mean_confidence,-0.00447077018847734
simple_uncertainty,V14Q_g2,field_reversal,recovery_mean_confidence,0.615090813099548
simple_uncertainty,V14Q_g2,field_reversal,peak_mean_confidence,0.25321623988517716
simple_uncertainty,V14Q_g2,field_reversal,delta_mean_individual_uncertainty,0.08235497013488764
simple_uncertainty,V14Q_g2,field_reversal,recovery_mean_individual_uncertainty,-0.47515758877815345
simple_uncertainty,V14Q_g2,field_reversal,peak_mean_individual_uncertainty,0.1401336613546181
simple_uncertainty,V14Q_g2,field_reversal,delta_belief_disagreement,0.19041154236702754
simple_uncertainty,V14Q_g2,field_reversal,recovery_belief_disagreement,-0.14740236201588053
simple_uncertainty,V14Q_g2,field_reversal,peak_belief_disagreement,-0.4649554409930047
simple_uncertainty,V14Q_g2,message_corruption,delta_mean_confidence,0.20589516945005312
simple_uncertainty,V14Q_g2,message_corruption,recovery_mean_confidence,-0.03640690620186649
simple_uncertainty,V14Q_g2,message_corruption,peak_mean_confidence,0.10981525282385322
simple_uncertainty,V14Q_g2,message_corruption,delta_mean_individual_uncertainty,-0.04963981512701992
simple_uncertainty,V14Q_g2,message_corruption,recovery_mean_individual_uncertainty,0.2642240821636185
simple_uncertainty,V14Q_g2,message_corruption,peak_mean_individual_uncertainty,-0.10915558364475832
simple_uncertainty,V14Q_g2,message_corruption,delta_belief_disagreement,0.01192460593612347
simple_uncertainty,V14Q_g2,message_corruption,recovery_belief_disagreement,-0.06732302420996292
simple_uncertainty,V14Q_g2,message_corruption,peak_belief_disagreement,0.12999265383871883
simple_uncertainty,V14Q_g2,network_partition,delta_mean_confidence,-0.08729624272042877
simple_uncertainty,V14Q_g2,network_partition,recovery_mean_confidence,-0.28249853265539016
simple_uncertainty,V14Q_g2,network_partition,peak_mean_confidence,-0.459821683743749
simple_uncertainty,V14Q_g2,network_partition,delta_mean_individual_uncertainty,0.02829573834439877
simple_uncertainty,V14Q_g2,network_partition,recovery_mean_individual_uncertainty,0.09856180570287087
simple_uncertainty,V14Q_g2,network_partition,peak_mean_individual_uncertainty,-0.2868424386562381
simple_uncertainty,V14Q_g2,network_partition,delta_belief_disagreement,-0.0709977331404085
simple_uncertainty,V14Q_g2,network_partition,recovery_belief_disagreement,0.0907300716247722
simple_uncertainty,V14Q_g2,network_partition,peak_belief_disagreement,-0.08414618762332889
simple_uncertainty,V14Q_g2,nominal,delta_mean_confidence,-0.11412815654114718
simple_uncertainty,V14Q_g2,nominal,recovery_mean_confidence,-0.29618537424229135
simple_uncertainty,V14Q_g2,nominal,peak_mean_confidence,0.0967901910347186
simple_uncertainty,V14Q_g2,nominal,delta_mean_individual_uncertainty,-0.06101089335226651
simple_uncertainty,V14Q_g2,nominal,recovery_mean_individual_uncertainty,0.11237170091166425
simple_uncertainty,V14Q_g2,nominal,peak_mean_individual_uncertainty,0.2558643609463783
simple_uncertainty,V14Q_g2,nominal,delta_belief_disagreement,-0.13133841516274236
simple_uncertainty,V14Q_g2,nominal,recovery_belief_disagreement,0.12399531460107127
simple_uncertainty,V14Q_g2,nominal,peak_belief_disagreement,0.4191089747776148
simple_uncertainty,V14Q_g3,field_reversal,delta_mean_confidence,-0.07654725104907632
simple_uncertainty,V14Q_g3,field_reversal,recovery_mean_confidence,0.6479014364820844
simple_uncertainty,V14Q_g3,field_reversal,peak_mean_confidence,0.19962389645828274
simple_uncertainty,V14Q_g3,field_reversal,delta_mean_individual_uncertainty,0.17368403670034413
simple_uncertainty,V14Q_g3,field_reversal,recovery_mean_individual_uncertainty,-0.5275458034062949
simple_uncertainty,V14Q_g3,field_reversal,peak_mean_individual_uncertainty,0.06521697311018125
simple_uncertainty,V14Q_g3,field_reversal,delta_belief_disagreement,0.18541926739097767
simple_uncertainty,V14Q_g3,field_reversal,recovery_belief_disagreement,-0.014765184038126869
simple_uncertainty,V14Q_g3,field_reversal,peak_belief_disagreement,-0.5870708094682774
simple_uncertainty,V14Q_g3,message_corruption,delta_mean_confidence,0.17143412538917047
simple_uncertainty,V14Q_g3,message_corruption,recovery_mean_confidence,-0.027213461190041272
simple_uncertainty,V14Q_g3,message_corruption,peak_mean_confidence,0.04803223887873338
simple_uncertainty,V14Q_g3,message_corruption,delta_mean_individual_uncertainty,-0.07159765734717011
simple_uncertainty,V14Q_g3,message_corruption,recovery_mean_individual_uncertainty,0.2276298097265763
simple_uncertainty,V14Q_g3,message_corruption,peak_mean_individual_uncertainty,-0.10830941455877525
simple_uncertainty,V14Q_g3,message_corruption,delta_belief_disagreement,0.0060038995120027736
simple_uncertainty,V14Q_g3,message_corruption,recovery_belief_disagreement,0.03915329235313563
simple_uncertainty,V14Q_g3,message_corruption,peak_belief_disagreement,0.039817665122936566
simple_uncertainty,V14Q_g3,network_partition,delta_mean_confidence,0.011190263497282915
simple_uncertainty,V14Q_g3,network_partition,recovery_mean_confidence,-0.399001915911478
