family,subset,cluster_id,panel_id,n_agents,topology,regime,disruption,coupling_strength,sampling_temperature,initial_condition,sweep,phase,belief_magnetization,action_magnetization,belief_action_overlap,belief_disagreement,configuration_entropy,entropy_rate,single_agent_marginal_entropy,total_correlation,reference_energy_per_agent,energy_variance,belief_susceptibility,spatial_belief_correlation,mean_confidence,messages_delivered,wire_bytes,message_current,workload_mean,workload_variance,local_configuration_entropy,cross_community_deliveries,corrupted_messages,macrostate_distance
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,43,recovery,0.0,0.0,1.0,0.5,0.6210863745552451,0.1553326555376651,0.0388178984097028,0.6210863745552451,-1.8,0.1306739517405061,0.0543908227848101,-0.0260416666666666,0.8410703125,80,1440,1.0,-0.98046875,0.0191497802734375,1.3589307177937815,20,0,1.2462055700539925
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,44,recovery,0.0,0.0,1.0,0.5,0.6210863745552451,0.1553326555376651,0.0388178984097028,0.6210863745552451,-1.8,0.1306739517405061,0.0543908227848101,-0.0260416666666666,0.8411953125,80,1440,1.0,-0.98046875,0.0191497802734375,1.3589307177937815,23,0,1.2462055700539925
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,45,recovery,-0.125,-0.125,1.0,0.5416666666666666,0.6393632996691399,0.1963800583982373,0.0461245764807985,0.7475055802252626,-1.6062500000000002,0.1359959454113922,0.0566060126582278,-0.0281249999999999,0.8413671875000001,80,1440,1.0,-0.97890625,0.0206488037109375,1.3589307177937815,25,0,1.776188305751564
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,1,baseline,0.25,0.375,0.375,0.4166666666666667,1.64622455382987,1.6397718128906469,0.1556693074075076,3.335193283210373,-1.2145833333333331,1.870210358796296,0.1625,-0.1666666666666666,0.55,16,288,1.0,-0.3046875,0.43841552734375,1.8631886918896168,1,0,5.3587644677414135
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,2,baseline,0.25,0.375,0.875,0.4166666666666667,2.141837449156696,2.062210874388181,0.2428544160605959,5.629503864782373,-1.5604166666666668,3.455200492831541,0.1280241935483871,-2.0816681711721685e-17,0.5861328124999999,32,576,1.0,-0.470703125,0.4678916931152344,1.6934711047938138,7,0,6.2212770497641925
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,3,baseline,0.0,0.0,1.0,0.4166666666666667,2.2289797515380902,2.1141726742303337,0.2500186069361003,5.771615670417121,-1.9375,3.716341484436565,0.1488253546099291,0.0503472222222221,0.6043619791666667,48,864,1.0,-0.55859375,0.4314626057942708,1.5823150475176018,13,0,6.050636377587897
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,4,baseline,0.0,0.0,1.0,0.4166666666666667,2.174644844317388,1.931564485446292,0.2555997866949154,6.0045483299199045,-1.9375,4.281810446979718,0.2152157738095238,0.0794270833333333,0.6185058593749999,64,1152,1.0,-0.6611328125,0.3627080917358398,1.525413890317683,21,0,6.834068834492074
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,5,baseline,0.0,0.0,1.0,0.4166666666666667,1.9543845099470776,1.636462392095968,0.2396664882256615,5.714943113274093,-1.9375,4.13678054676512,0.2214794303797468,0.0968749999999999,0.6298906249999999,80,1440,1.0,-0.72890625,0.3085394287109375,1.491273195997732,27,0,6.951046712921545
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,6,baseline,0.0,0.0,1.0,0.4166666666666667,1.2728841391692216,0.7793966752058012,0.1093190271609947,2.225324729982611,-1.9375,0.8390718947784812,0.2148338607594936,0.1635416666666665,0.6563828125000001,80,1440,1.0,-0.86796875,0.1802239990234375,1.3895775413633935,33,0,2.5396036799510724
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,7,baseline,0.0,0.0,1.0,0.4166666666666667,0.6607532912832434,0.2824964064174696,0.0634817718277429,1.3706634072045296,-1.9375,0.2747200685654006,0.1059731012658228,0.1635416666666665,0.6708046875,80,1440,1.0,-0.940625,0.079287109375,1.355768921567377,32,0,1.986530711538322
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,8,baseline,0.0,0.0,1.0,0.4166666666666667,-0.0,0.0,0.0,0.0,-1.9375,0.0,0.0,0.1666666666666665,0.6872187499999999,80,1440,1.0,-0.99375,0.0062109374999999,1.354710418717927,30,0,0.999698591911593
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,9,baseline,0.125,0.125,1.0,0.4583333333333333,0.4437922953464478,0.1146168773785716,0.0277370184591529,0.4437922953464478,-1.74375,0.0827760087025317,0.0344541139240506,0.1531249999999999,0.701171875,80,1440,1.0,-0.98984375,0.0100531005859375,1.3572766140380863,27,0,1.4495494710940118
C_disruption_recovery,controlled_quench,C_quench_n16_g1,C_quench_n16_g1_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,10,baseline,0.0,0.0,1.0,0.4166666666666667,0.5623351446188083,0.1524541381011514,0.0351459465386755,0.5623351446188083,-1.9375,0.1140427215189874,0.0474683544303797,0.1458333333333332,0.7124609375,80,1440,1.0,-0.984375,0.015380859375,1.3586584115181726,24,0,0.8679111164831176
