n_agents,topology,temperature,alpha,independent_n,pathwise_irreversibility_per_update_mean,pathwise_irreversibility_per_update_ci_low,pathwise_irreversibility_per_update_ci_high
16.0,ring,1.3,0.0,4,-8.177040603996357e-05,-0.000424553742452025,0.00018004853993535
16.0,ring,1.3,0.1,4,0.0008904499499743251,0.0006767839995082501,0.0011041159004403999
16.0,ring,1.3,0.35,4,0.014904168526796801,0.01452239560239295,0.01528594145120065
16.0,ring,1.3,0.65,4,0.05775323244086875,0.0551180504644723,0.06128548251355881
16.0,ring,1.5,0.0,4,-8.792743633996591e-05,-0.0002211125211095,4.525764842956817e-05
16.0,ring,1.5,0.1,4,0.0011275065760886001,0.0004553079606484,0.0017997051915288
16.0,ring,1.5,0.35,4,0.0127379070958992,0.011165302384504725,0.014614350893847274
16.0,ring,1.5,0.65,4,0.047093905942267145,0.0440182669206961,0.0501695449638382
16.0,ring,1.65,0.0,4,1.8232124079001262e-05,-0.00032719316108257624,0.0003974357027313276
16.0,ring,1.65,0.1,4,0.00083010378530425,0.000615520189030175,0.0011533511357828751
16.0,ring,1.65,0.35,4,0.012683829946251675,0.011066515064597776,0.0141718642979333
16.0,ring,1.65,0.65,4,0.0450965231056384,0.042587670163184724,0.04727548931378723
16.0,ring,1.8,0.0,4,8.9712607048375e-05,-0.00010103976019365,0.00020281340227547501
16.0,ring,1.8,0.1,4,0.001036940806726125,0.0006168967599379,0.0016350962874012
16.0,ring,1.8,0.35,4,0.011593847114012224,0.0107148158449876,0.012259430783904676
16.0,ring,1.8,0.65,4,0.04013021404946958,0.03941945884069045,0.0408409692582487
16.0,ring,2.1,0.0,4,-7.764207060101706e-07,-0.00021134521899342598,0.00022331843717751583
16.0,ring,2.1,0.1,4,0.0007532261952034999,0.0005708201689206,0.0009356322214864
16.0,ring,2.1,0.35,4,0.010347325332657625,0.009669558758994475,0.01075707300414355
16.0,ring,2.1,0.65,4,0.0353717509058081,0.0333770894993588,0.0373664123122574
16.0,small_world,1.3,0.0,4,0.00017267107356847502,-0.000442454232971475,0.0006136022340752
16.0,small_world,1.3,0.1,4,0.0003573046277660531,-0.00010621614199309368,0.0008208253975252
16.0,small_world,1.3,0.35,4,0.003676711886311075,0.0018003764162256002,0.0050911374478359
16.0,small_world,1.3,0.65,4,0.02423534321386765,0.018450341042500547,0.0287212259620525
16.0,small_world,1.5,0.0,4,0.0001878712276321,-2.0407779626775e-05,0.00030713711375690003
16.0,small_world,1.5,0.1,4,0.0008478948751982251,0.00034946091666887503,0.0014549460762987498
16.0,small_world,1.5,0.35,4,0.005547433723065425,0.0038016514403567,0.00729321600577415
16.0,small_world,1.5,0.65,4,0.0383599288247647,0.033094975810069774,0.043236915953009124
16.0,small_world,1.65,0.0,4,1.868514248520001e-05,-0.00042670512291045,0.00028466920763725004
16.0,small_world,1.65,0.1,4,0.0003036091291717046,5.040208792298876e-05,0.000463301863539825
16.0,small_world,1.65,0.35,4,0.0075375097166623245,0.005628110787250275,0.009185745662634
16.0,small_world,1.65,0.65,4,0.04252762564582882,0.0360945947816987,0.048960656509958955
16.0,small_world,1.8,0.0,4,0.00012911346704222497,-0.00043869503060502504,0.0005562690878892
16.0,small_world,1.8,0.1,4,0.0007468738391471,0.00040240341524904995,0.00109134426304515
16.0,small_world,1.8,0.35,4,0.010092225247824375,0.0088410090485835,0.0114534452052129
16.0,small_world,1.8,0.65,4,0.042419001851500604,0.038341427677205976,0.045969822623019754
16.0,small_world,2.1,0.0,4,6.90658496426796e-05,-8.048285967615461e-05,0.00032296065923228417
16.0,small_world,2.1,0.1,4,0.000898529341103125,0.0007954961293158,0.0010015625528904501
16.0,small_world,2.1,0.35,4,0.01122805998453915,0.0107754239483248,0.011785013114714048
16.0,small_world,2.1,0.65,4,0.040405101307944745,0.0377092299668707,0.043150703282892625
32.0,modular,1.3,0.0,4,4.811794425240852e-05,-0.00033676877751885,0.000514284603326925
32.0,modular,1.3,0.1,4,0.00014379827647226497,-3.466897870532008e-05,0.00039175208413184823
32.0,modular,1.3,0.35,4,0.0026771680660986753,0.0004504770050902,0.0056082740905196
32.0,modular,1.3,0.65,4,0.01720703211584535,0.007200351895173325,0.032316839964176725
32.0,modular,1.5,0.0,4,-0.00018733526678825756,-0.00041978454262796045,-1.5441440343765137e-05
