run_id,candidate_name,application,environment_seed,disruption_step,pre_disruption_noninitial_evaluations,pre_disruption_noninitial_transmissions,pre_disruption_noninitial_transmission_rate
v8-development_final-humanitarian-small-high-medium-low-small_world-private_fragmented-8810004-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810004,5,0,0,0.0
v8-development_final-humanitarian-small-high-medium-low-small_world-private_fragmented-8810004-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810004,5,24,0,0.0
v8-development_final-humanitarian-small-low-low-low-random_geometric-private_fragmented-8810001-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810001,5,0,0,0.0
v8-development_final-humanitarian-small-low-low-low-random_geometric-private_fragmented-8810001-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810001,5,0,0,0.0
v8-development_final-humanitarian-small-low-low-low-random_geometric-private_fragmented-8810001-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810001,5,0,0,0.0
v8-development_final-humanitarian-small-low-low-low-random_geometric-private_fragmented-8810001-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810001,5,0,0,0.0
v8-development_final-humanitarian-small-low-low-low-random_geometric-private_fragmented-8810001-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810001,5,0,0,0.0
v8-development_final-humanitarian-small-low-low-low-random_geometric-private_fragmented-8810001-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810001,5,24,0,0.0
v8-development_final-humanitarian-small-low-medium-high-small_world-private_fragmented-8810006-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810006,5,0,0,0.0
v8-development_final-humanitarian-small-low-medium-high-small_world-private_fragmented-8810006-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810006,5,0,0,0.0
v8-development_final-humanitarian-small-low-medium-high-small_world-private_fragmented-8810006-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810006,5,0,0,0.0
v8-development_final-humanitarian-small-low-medium-high-small_world-private_fragmented-8810006-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810006,5,0,0,0.0
v8-development_final-humanitarian-small-low-medium-high-small_world-private_fragmented-8810006-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810006,5,0,0,0.0
v8-development_final-humanitarian-small-low-medium-high-small_world-private_fragmented-8810006-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810006,5,24,0,0.0
v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810005,5,0,0,0.0
v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810005,5,0,0,0.0
v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810005,5,0,0,0.0
v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810005,5,0,0,0.0
v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810005,5,0,0,0.0
v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810005,5,24,0,0.0
v8-development_final-humanitarian-small-medium-low-high-random_geometric-private_fragmented-8810007-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810007,5,0,0,0.0
v8-development_final-humanitarian-small-medium-low-high-random_geometric-private_fragmented-8810007-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810007,5,0,0,0.0
v8-development_final-humanitarian-small-medium-low-high-random_geometric-private_fragmented-8810007-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810007,5,0,0,0.0
v8-development_final-humanitarian-small-medium-low-high-random_geometric-private_fragmented-8810007-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810007,5,0,0,0.0
v8-development_final-humanitarian-small-medium-low-high-random_geometric-private_fragmented-8810007-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810007,5,0,0,0.0
v8-development_final-humanitarian-small-medium-low-high-random_geometric-private_fragmented-8810007-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810007,5,24,0,0.0
v8-development_final-humanitarian-small-medium-medium-medium-small_world-private_fragmented-8810002-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810002,5,0,0,0.0
v8-development_final-humanitarian-small-medium-medium-medium-small_world-private_fragmented-8810002-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810002,5,0,0,0.0
