agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
retailer_11,commercial,reliable,1.0,nominal,0,8,0.4839051508518622,-0.029838256019074916,3.6398297591398356,retailer,5101,11,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.4821707008925329,-0.029909905084560373,0.16479999999999997,supplier,5101,11,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.3694611381264124,-0.01122941040426173,0.16480000000000003,supplier,5101,11,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.3694611381264124,-0.01122941040426173,0.007999999999999964,warehouse,5101,11,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.4777528995683915,-0.028441457212290078,0.007999999999999964,warehouse,5101,11,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.360960426444017,-0.008500711682395412,0.007999999999999964,carrier,5101,12,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.3631307573886371,-0.009183896381601775,0.007999999999999964,carrier,5101,12,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.3631307573886371,-0.009183896381601775,0.16480000000000003,manufacturer,5101,12,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.453610301809975,-0.025864748346020927,0.20400000000000001,manufacturer,5101,12,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.45937917618812446,-0.028077484311610668,4.1566978213102885,retailer,5101,12,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.45937917618812446,-0.028077484311610668,3.475318410176835,retailer,5101,12,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.45690707045351564,-0.026998080398346558,4.068838703201847,retailer,5101,12,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.45527501181720736,-0.026895689075325524,0.16479999999999997,supplier,5101,12,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.360960426444017,-0.008500711682395412,0.16480000000000003,supplier,5101,12,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.360960426444017,-0.008500711682395412,0.007999999999999964,warehouse,5101,12,ring_plus_hubs
