model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters,source_type,graph_distance,metric,estimate,ci_low,ci_high,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_persistent,disruption,7.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,13.0,0.0,1.0,0.0662499999999999,0.1622786954593855,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,14.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,15.0,0.0,1.0,0.044375,0.1086961073360035,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,0.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,1.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,2.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,3.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,4.0,1.0,0.0,0.0331018518518518,0.0810826465782394,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,5.0,1.0,0.0,0.0010416666666666,0.0025515518153991,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,6.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,7.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,8.0,1.0,1.0,0.0732175925925925,0.1138097342365576,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,9.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,10.0,1.0,1.0,0.0050347222222222,0.0123325004410958,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,11.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,12.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,13.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,14.0,1.0,1.0,0.0300925925925925,0.0737114968893086,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,8.0,15.0,1.0,1.0,0.0001736111111111,0.0004252586358998,6.0,mean_connected_matrix,,,,,,,,
