stage,application,scheduler,episodes,independent_panels,attempted_sketch_messages,transmitted_sketch_messages,delivered_sketch_messages,dropped_sketch_messages,forwarded_sketch_messages,sketch_on_wire_bytes,operational_messages,operational_bytes,fully_counted_messages,fully_counted_bytes,mean_trigger_activation_rate,mean_trigger_compute_seconds,mean_trigger_compute_microseconds_per_evaluation,mean_primary_distributed_state_error
hysteresis_repair_pilot_v2,utility_restoration,kpi_change,6,6,194962,183162,165806,29156,174110,6227508,1574,369823,184736,6597331,0.6633241758241758,0.3554719608315888,666.5070505698303,0.06299072665136655
hysteresis_repair_pilot_v2,utility_restoration,none,6,6,0,0,0,0,0,0,1554,365139,1554,365139,0.0,0.0175912356159339,34.52135155367126,0.0925514313448166
hysteresis_repair_pilot_v3,humanitarian,always_on,6,6,460223,438662,399286,60937,419158,14914508,2367,556769,441029,15471277,1.0,0.36195466314287233,669.2527705281208,0.06160724111389992
hysteresis_repair_pilot_v3,humanitarian,generalized_information,12,6,798976,761509,693342,105634,728044,25891306,4735,1113891,766244,27005197,0.7722794566544566,0.3602912914114616,671.5882768512041,0.06128137450598719
hysteresis_repair_pilot_v3,humanitarian,kpi_change,6,6,341027,324628,295437,45590,310239,11037352,2364,556068,326992,11593420,0.7105616605616606,0.3565386349509936,656.601081526975,0.06446282642238058
hysteresis_repair_pilot_v3,humanitarian,none,6,6,0,0,0,0,0,0,2355,554208,2355,554208,0.0,0.01767074117863855,34.05297091096425,0.0803078564932461
hysteresis_repair_pilot_v3,utility_restoration,always_on,6,6,245920,231063,210199,35721,218363,7856142,1544,363049,232607,8219191,1.0,0.36486152990255505,683.2452120074049,0.06341050223618655
hysteresis_repair_pilot_v3,utility_restoration,generalized_information,12,6,408191,383787,348945,59246,363184,13048758,3070,721883,386857,13770641,0.7313339438339438,0.35965811618856,676.3002720482325,0.06364216866694876
hysteresis_repair_pilot_v3,utility_restoration,kpi_change,6,6,181698,171167,155605,26093,162114,5819678,1546,363562,172713,6183240,0.6500228937728938,0.35941538225354935,673.343002002765,0.06367145645765816
hysteresis_repair_pilot_v3,utility_restoration,none,6,6,0,0,0,0,0,0,1515,356003,1515,356003,0.0,0.01727402327621042,34.60746603096896,0.09355903585568215
development,humanitarian,age_of_information,24,24,327552,310955,282470,45082,269330,10572470,8293,1954259,319248,12526729,0.38368055555555564,not_recorded,not_recorded,0.07336475290784993
development,humanitarian,always_on,24,24,631659,590216,535821,95838,508484,20067344,8303,1956533,598519,22023877,1.0,not_recorded,not_recorded,0.06716022835503113
development,humanitarian,generalized_information,24,24,488846,458223,415911,72935,395266,15579582,8294,1954501,466517,17534083,0.7157738095238096,not_recorded,not_recorded,0.06781762512590277
development,humanitarian,js_drift,24,24,429887,404100,366974,62913,348510,13739400,8304,1956765,412404,15696165,0.6632173382173382,not_recorded,not_recorded,0.06769181210223507
